,Created Date,Complaint Type,Incident Zip,City,Borough,1,5,8,16,25
64,,,,,,11/23/2010 12:00:00 AM,PLUMBING,11233.0,BROOKLYN,Unspecified
65,,,,,,11/23/2010 12:00:00 AM,PLUMBING,10468.0,BRONX,Unspecified
66,,,,,,11/23/2010 12:00:00 AM,PLUMBING,11203.0,BROOKLYN,Unspecified
67,,,,,,11/23/2010 12:00:00 AM,PLUMBING,11209.0,BROOKLYN,Unspecified
68,,,,,,11/23/2010 12:00:00 AM,PLUMBING,10040.0,NEW YORK,Unspecified
69,,,,,,11/23/2010 12:00:00 AM,PLUMBING,11216.0,BROOKLYN,Unspecified
70,,,,,,11/23/2010 12:00:00 AM,NONCONST,10468.0,BRONX,Unspecified
71,,,,,,11/23/2010 12:00:00 AM,NONCONST,10474.0,BRONX,Unspecified
72,,,,,,11/23/2010 12:00:00 AM,HEATING,11233.0,BROOKLYN,Unspecified
73,,,,,,11/23/2010 12:00:00 AM,HEATING,11368.0,CORONA,Unspecified
74,,,,,,11/23/2010 12:00:00 AM,HEATING,10003.0,NEW YORK,Unspecified
75,,,,,,11/23/2010 12:00:00 AM,HEATING,11224.0,BROOKLYN,Unspecified
76,,,,,,07/30/2014 11:58:12 AM,New Tree Request,11372.0,JACKSON HEIGHTS,QUEENS
77,,,,,,11/23/2010 12:00:00 AM,HEATING,11235.0,BROOKLYN,Unspecified
78,,,,,,11/23/2010 12:00:00 AM,HEATING,10453.0,BRONX,Unspecified
79,,,,,,11/23/2010 12:00:00 AM,HEATING,10468.0,BRONX,Unspecified
80,,,,,,11/23/2010 12:00:00 AM,HEATING,11357.0,WHITESTONE,Unspecified
81,,,,,,11/23/2010 12:00:00 AM,PLUMBING,11203.0,BROOKLYN,Unspecified
82,,,,,,11/23/2010 12:00:00 AM,CONSTRUCTION,10454.0,BRONX,Unspecified
83,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,10456.0,BRONX,Unspecified
84,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,11232.0,BROOKLYN,Unspecified
85,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,11225.0,BROOKLYN,Unspecified
86,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,11221.0,BROOKLYN,Unspecified
87,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,11412.0,SAINT ALBANS,Unspecified
88,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,10463.0,BRONX,Unspecified
89,,,,,,11/23/2010 12:00:00 AM,NONCONST,10301.0,STATEN ISLAND,Unspecified
90,,,,,,11/23/2010 12:00:00 AM,NONCONST,11226.0,BROOKLYN,Unspecified
91,,,,,,11/23/2010 12:00:00 AM,NONCONST,10039.0,NEW YORK,Unspecified
92,,,,,,11/23/2010 12:00:00 AM,NONCONST,11106.0,ASTORIA,Unspecified
93,,,,,,11/23/2010 12:00:00 AM,NONCONST,11226.0,BROOKLYN,Unspecified
94,,,,,,11/23/2010 12:00:00 AM,NONCONST,10468.0,BRONX,Unspecified
95,,,,,,11/23/2010 12:00:00 AM,NONCONST,10452.0,BRONX,Unspecified
96,,,,,,11/23/2010 12:00:00 AM,NONCONST,10458.0,BRONX,Unspecified
97,,,,,,11/23/2010 12:00:00 AM,ELECTRIC,10462.0,BRONX,Unspecified
98,,,,,,11/23/2010 12:00:00 AM,PLUMBING,11436.0,JAMAICA,Unspecified
